Time(s) Delta Theta Alpha Beta
1.065000000000000000e+02 3.028368848488569801e-03 1.167615521617934062e-03 5.454483379389484443e-04 1.439063681987445928e-04
1.070000000000000000e+02 3.255208484225731447e-03 1.283068409218833788e-03 4.557561145582244839e-04 1.399316152309177915e-04
1.075000000000000000e+02 2.858537834822725242e-03 1.409292507694042546e-03 4.426990612863686237e-04 1.527605926458664310e-04
1.080000000000000000e+02 2.777718819509262301e-03 1.231713350635538348e-03 4.697960639514252366e-04 1.543558498762457221e-04
1.085000000000000000e+02 1.669105348123129870e-03 1.204694663613058679e-03 4.083844029013636106e-04 1.559431421912951365e-04
1.090000000000000000e+02 1.586226688930680558e-03 1.097421591886493276e-03 5.008680684581883532e-04 1.677468052072158752e-04
1.095000000000000000e+02 1.574283815924759937e-03 1.082299940383280685e-03 4.366314090843199003e-04 1.612849766868355026e-04
1.100000000000000000e+02 1.887575722321411078e-03 9.147421206409300440e-04 5.147161478530443927e-04 1.600582254280326366e-04
1.105000000000000000e+02 1.564678819194210199e-03 8.344496107780569483e-04 4.079092906878825924e-04 1.389033376518458089e-04
1.110000000000000000e+02 1.356015138302357759e-03 8.122412887118116240e-04 5.534538297339938349e-04 1.628355755748174983e-04
1.115000000000000000e+02 1.570701252788483156e-03 7.091995947596792076e-04 5.084352052110413089e-04 1.373110566988770256e-04
1.120000000000000000e+02 1.594740766923566627e-03 7.860042145471464112e-04 4.918592953428165904e-04 1.363294970451760972e-04
1.125000000000000000e+02 1.695874835433546770e-03 6.741705179329443402e-04 4.466523940836494670e-04 1.362881818421373835e-04
1.130000000000000000e+02 1.556867487825335655e-03 8.143666067503154251e-04 4.517878136514544697e-04 1.282350683267207813e-04
1.135000000000000000e+02 1.502272592380035241e-03 8.491203397099041702e-04 4.804797940845658083e-04 1.346497479194597678e-04
1.140000000000000000e+02 1.674464936239484234e-03 1.103549393781130209e-03 4.953116616494184291e-04 1.434136866992502827e-04
1.145000000000000000e+02 2.425888021610904215e-03 1.420422498472264728e-03 5.266944366889075510e-04 1.624385657714392389e-04
1.150000000000000000e+02 2.411396654916752019e-03 1.288396407279110423e-03 5.525591310346747486e-04 1.611198950415167457e-04
1.155000000000000000e+02 3.593993398870231303e-03 1.393087755821345716e-03 6.836092322157447413e-04 1.546024767660877854e-04
1.160000000000000000e+02 4.915861849752204901e-03 1.118532422592923318e-03 7.313203014940398419e-04 1.535213085199789288e-04
1.165000000000000000e+02 4.985106026214410416e-03 1.468444121061341680e-03 7.471372818211548857e-04 1.445361125052774601e-04
1.170000000000000000e+02 6.346630442417937161e-03 1.342220894877216904e-03 8.154256704135555553e-04 1.555155888394208310e-04
1.175000000000000000e+02 6.389441400788231640e-03 1.360143275441018807e-03 7.792972652647701948e-04 1.343824285049480250e-04
1.180000000000000000e+02 6.216694876628443486e-03 1.221886857648948107e-03 8.190759808717607135e-04 1.352475715107664337e-04
1.185000000000000000e+02 5.467008695844098251e-03 9.621887807740782004e-04 8.488183889787169565e-04 1.261092403114442550e-04
1.190000000000000000e+02 5.689346926427924465e-03 9.963894779682087172e-04 7.787984175548572606e-04 1.256517987282450635e-04
1.195000000000000000e+02 4.763965729660412166e-03 8.049392236220098652e-04 6.431791082484283580e-04 1.240033983165218269e-04
1.200000000000000000e+02 3.991864313789793110e-03 9.224001137997264559e-04 6.396224489071020928e-04 1.280565151764433975e-04
1.205000000000000000e+02 4.285269920349564325e-03 7.621852156053644757e-04 5.934249316871775511e-04 1.390504372874257980e-04
1.210000000000000000e+02 2.850486899694964962e-03 5.955022449611339832e-04 6.083005249673549466e-04 1.294344511043242182e-04
1.215000000000000000e+02 2.760746467082734589e-03 7.535525066039653729e-04 5.655482829035921814e-04 1.466469034862900194e-04
1.220000000000000000e+02 2.680896081466457598e-03 7.138793564442056944e-04 6.511706496009958935e-04 1.492694253855517041e-04
1.225000000000000000e+02 3.418559593207335951e-03 7.599282166613145328e-04 5.314870186922222243e-04 1.620107483507960203e-04
1.230000000000000000e+02 2.770161505745866778e-03 7.433480287149027551e-04 6.694453229602840161e-04 1.467503846757153428e-04
1.235000000000000000e+02 2.860751191191228133e-03 7.205384660214397049e-04 5.774866557644112988e-04 1.618078941729741667e-04
1.240000000000000000e+02 1.683283897635730331e-03 6.743809542539767584e-04 5.678964017216694103e-04 1.534159153761286906e-04
1.245000000000000000e+02 1.213727459382415302e-03 5.841597861478452832e-04 5.180875692156751118e-04 1.567070383996600411e-04
1.250000000000000000e+02 1.258007523004549396e-03 6.184926658913262373e-04 5.149546519657135970e-04 1.523671520787068731e-04
1.255000000000000000e+02 1.376739322802434393e-03 8.147305171949240955e-04 4.254468416834135099e-04 1.580768237449574950e-04
1.260000000000000000e+02 1.530057219227832100e-03 6.989703771324243947e-04 4.156928989135386609e-04 1.544756832454214225e-04
1.265000000000000000e+02 1.485274060819934128e-03 6.882913250779324008e-04 3.761265748926525361e-04 1.502851529709121978e-04
1.270000000000000000e+02 1.474410914486691234e-03 6.721385407479186320e-04 3.630814750625961022e-04 1.588144650843677610e-04
1.275000000000000000e+02 2.047937977336238089e-03 8.021745843265616453e-04 3.617751462430606282e-04 1.606285616110055925e-04
1.280000000000000000e+02 2.063967940421961109e-03 8.682746990294011374e-04 4.246265727757146040e-04 1.668309342340860339e-04
1.285000000000000000e+02 2.453429905418171887e-03 8.941709945418880928e-04 4.479883070171252315e-04 1.701671795115692232e-04
1.290000000000000000e+02 2.635867152292580527e-03 9.164342739083998013e-04 5.339282914282140547e-04 1.812963749679339883e-04
1.295000000000000000e+02 2.787687690805492301e-03 5.859047466375508781e-04 6.323758277237882895e-04 1.775066705896407194e-04
1.300000000000000000e+02 2.642379199254633014e-03 7.452420018648397895e-04 5.795453650576803690e-04 1.664260419348135948e-04
1.305000000000000000e+02 2.199702903807831521e-03 8.942195021290015979e-04 6.168922587846114311e-04 1.641881747313291852e-04
1.310000000000000000e+02 2.245741325646113690e-03 1.104054770598734058e-03 5.727700295955932353e-04 1.799494272648431291e-04
1.315000000000000000e+02 1.913888336499116206e-03 1.161006592662640335e-03 6.158081172294245422e-04 1.737922422649464994e-04
1.320000000000000000e+02 2.356912435917613274e-03 1.423723630678399481e-03 5.532967041110596011e-04 1.803873654709885752e-04
1.325000000000000000e+02 2.181144607471075490e-03 1.616199856645445573e-03 7.251446904526500726e-04 1.781964902974713912e-04
1.330000000000000000e+02 2.687398968666527329e-03 1.809289515486180817e-03 5.910806581688504875e-04 1.899633542275338855e-04
1.335000000000000000e+02 2.008234364613755655e-03 1.715234989212289281e-03 6.206955884228410438e-04 1.990148159193783008e-04
