Time(s) Delta Theta Alpha Beta
1.085000000000000000e+02 4.312750801817983280e-03 1.644514534386858681e-03 7.162445959281073119e-04 2.189145581515059013e-04
1.090000000000000000e+02 4.311675408905162390e-03 1.644132797298552022e-03 7.160502085760188460e-04 2.186904511682807764e-04
1.095000000000000000e+02 4.303300475641316618e-03 1.643298554984417648e-03 7.161239924850425426e-04 2.184223663110182651e-04
1.100000000000000000e+02 4.293751697164547611e-03 1.643470463661995257e-03 7.153930030827640105e-04 2.182376192118473288e-04
1.105000000000000000e+02 4.283844401066914248e-03 1.643454356228949038e-03 7.150502096720580967e-04 2.179874546482071557e-04
1.110000000000000000e+02 4.271970099129965455e-03 1.642816508688096921e-03 7.148415590153468389e-04 2.176782220450743967e-04
1.115000000000000000e+02 4.260816022969294604e-03 1.641963504918193600e-03 7.142781226416280212e-04 2.173409782015732939e-04
1.120000000000000000e+02 4.249056176984643274e-03 1.641671063585094584e-03 7.138224132034055435e-04 2.171192753377382517e-04
1.125000000000000000e+02 4.239200357498511089e-03 1.641560098211095097e-03 7.131057054627803257e-04 2.168869540753911294e-04
1.130000000000000000e+02 4.227916147853787339e-03 1.639731082726472548e-03 7.123689771461073081e-04 2.166942090951891298e-04
1.135000000000000000e+02 4.216462776619930505e-03 1.637188725204235347e-03 7.115166737070522046e-04 2.165094636813993034e-04
1.140000000000000000e+02 4.206284781531950505e-03 1.635242081245824597e-03 7.107978677586400005e-04 2.162799389943817821e-04
1.145000000000000000e+02 4.195943183125652384e-03 1.632421236384244646e-03 7.095005894650152720e-04 2.160533917982956160e-04
1.150000000000000000e+02 4.185805685643305928e-03 1.630787398061170476e-03 7.078460301557365627e-04 2.158847448768223679e-04
1.155000000000000000e+02 4.175444648482087850e-03 1.628912730330822015e-03 7.059784416138647350e-04 2.157299960429897396e-04
1.160000000000000000e+02 4.164378013095390921e-03 1.628154842617926317e-03 7.041339199334806448e-04 2.155157783649610257e-04
1.165000000000000000e+02 4.153164639438269683e-03 1.626984511229966502e-03 7.025003375028839297e-04 2.153159047656396817e-04
1.170000000000000000e+02 4.143831798178207286e-03 1.625348578591285327e-03 7.011657868996225155e-04 2.150879845267264566e-04
1.175000000000000000e+02 4.135218172066063187e-03 1.623977693478200618e-03 6.995507448713920605e-04 2.147999502592540168e-04
1.180000000000000000e+02 4.128969468489846438e-03 1.622640551105912488e-03 6.982654914756931475e-04 2.144966983270528145e-04
1.185000000000000000e+02 4.121153325822086121e-03 1.621461230795350535e-03 6.969030896575510422e-04 2.141666986216998335e-04
1.190000000000000000e+02 4.116157707510979986e-03 1.619443734771580526e-03 6.958233954980606612e-04 2.138464027811643364e-04
1.195000000000000000e+02 4.108174711189120643e-03 1.617143789367401011e-03 6.945439259603901176e-04 2.134759945299317951e-04
1.200000000000000000e+02 4.104458328458286676e-03 1.613963360646297057e-03 6.933900556065332671e-04 2.131516763131250432e-04
1.205000000000000000e+02 4.099276867349380474e-03 1.610713335580375282e-03 6.918477236175434811e-04 2.127724657666168323e-04
1.210000000000000000e+02 4.096823305551539236e-03 1.608409518518908463e-03 6.905707529199464926e-04 2.125021722107565524e-04
1.215000000000000000e+02 4.090798558689147553e-03 1.605638114415944328e-03 6.896966849904333577e-04 2.122953112982087405e-04
1.220000000000000000e+02 4.084185768155489463e-03 1.603478027013670792e-03 6.896243193740773242e-04 2.121253701205947555e-04
1.225000000000000000e+02 4.075113226863472451e-03 1.600321241406385151e-03 6.895090509316769952e-04 2.120138872030559397e-04
1.230000000000000000e+02 4.066616497418228462e-03 1.597829023950999216e-03 6.894559376245644206e-04 2.118423483584083180e-04
1.235000000000000000e+02 4.057326807089270404e-03 1.595070317308966293e-03 6.895090320717279109e-04 2.117772345418115251e-04
1.240000000000000000e+02 4.048230318399870589e-03 1.593038579372787773e-03 6.895631315695199522e-04 2.117496715041163719e-04
1.245000000000000000e+02 4.037562352837416151e-03 1.590171961376735848e-03 6.898419479468378447e-04 2.119575493551521383e-04
1.250000000000000000e+02 4.027612258471672743e-03 1.588103835771406723e-03 6.897589374863401365e-04 2.121684108082177306e-04
1.255000000000000000e+02 4.020629134177043998e-03 1.585361815079609901e-03 6.895450734550607856e-04 2.122694116040614999e-04
1.260000000000000000e+02 4.013186135583854224e-03 1.583239547056784161e-03 6.885990315645872323e-04 2.124319235021245847e-04
1.265000000000000000e+02 4.007541907554830647e-03 1.581955337935879924e-03 6.875853406673179203e-04 2.125325139517451802e-04
1.270000000000000000e+02 4.004314409741627050e-03 1.581448068207526704e-03 6.868826084623852815e-04 2.127288456775234518e-04
1.275000000000000000e+02 4.004516134679857176e-03 1.581339359372373188e-03 6.860492847506404835e-04 2.128401973104959331e-04
1.280000000000000000e+02 4.004513561470010585e-03 1.580527418838529371e-03 6.857172940681252864e-04 2.129263131314850432e-04
1.285000000000000000e+02 4.006440318258774370e-03 1.580294641862650803e-03 6.851997999087601574e-04 2.127872865190235481e-04
1.290000000000000000e+02 4.006298438215073754e-03 1.579032833881713425e-03 6.849355383206233352e-04 2.125984668614709909e-04
1.295000000000000000e+02 4.003322484721020397e-03 1.578246959076766952e-03 6.843713012336253079e-04 2.124397239023542965e-04
1.300000000000000000e+02 4.000247484230233345e-03 1.576417520334078438e-03 6.840497529273276318e-04 2.122664109099638683e-04
1.305000000000000000e+02 3.997315766165514261e-03 1.574449811121915411e-03 6.835853532376051905e-04 2.120487870456706065e-04
1.310000000000000000e+02 3.992731882503187946e-03 1.571973046318326942e-03 6.830948686489938561e-04 2.118561144156303844e-04
1.315000000000000000e+02 3.986849665425134040e-03 1.568748408589128260e-03 6.824084136454016932e-04 2.116587701458155139e-04
1.320000000000000000e+02 3.984009180785776268e-03 1.566571174577980653e-03 6.818894351364381424e-04 2.115423759015866607e-04
1.325000000000000000e+02 3.983910495991400957e-03 1.564557780279095299e-03 6.815046051355294534e-04 2.115249584782641942e-04
1.330000000000000000e+02 3.981525027745458356e-03 1.563592479737886936e-03 6.815676054052984857e-04 2.114030119388000007e-04
1.335000000000000000e+02 3.982294779628848397e-03 1.562618652721215612e-03 6.819758769537853345e-04 2.113830956897204351e-04
1.340000000000000000e+02 3.981793834474857234e-03 1.562650575808006157e-03 6.824244151410046319e-04 2.112781229818986098e-04
1.345000000000000000e+02 3.983214203903746864e-03 1.561467352314010624e-03 6.828108549190620331e-04 2.112993670941859655e-04
1.350000000000000000e+02 3.982439827377744386e-03 1.560802230853815687e-03 6.831358549964000387e-04 2.112463632355921341e-04
1.355000000000000000e+02 3.983021206656700217e-03 1.559996696530641016e-03 6.839178602903297826e-04 2.112438554630573630e-04
1.360000000000000000e+02 3.978584652192746277e-03 1.558901619187892922e-03 6.851189866099596055e-04 2.111186816175683438e-04
1.365000000000000000e+02 3.971506732567941719e-03 1.557573620366669740e-03 6.857470615977704015e-04 2.110168399445638940e-04
1.370000000000000000e+02 3.964351566706054986e-03 1.556720446225351310e-03 6.863152082728890113e-04 2.109434711417409395e-04
1.375000000000000000e+02 3.957130828772417556e-03 1.554769212472055040e-03 6.865192832385787680e-04 2.110332207229419416e-04
1.380000000000000000e+02 3.949615621871480596e-03 1.552864293275859914e-03 6.877773656749046208e-04 2.111192561759346956e-04
1.385000000000000000e+02 3.943732722581833917e-03 1.551206246798815178e-03 6.891748777737087247e-04 2.112488984045247996e-04
1.390000000000000000e+02 3.938087327296417237e-03 1.549650150132130975e-03 6.905611120881627709e-04 2.113080803974423422e-04
1.395000000000000000e+02 3.932030965366420903e-03 1.547678583593097273e-03 6.915977706740732362e-04 2.113969968950715175e-04
1.400000000000000000e+02 3.925974674415071142e-03 1.546049609887039820e-03 6.920427357202034273e-04 2.115300711161920393e-04
1.405000000000000000e+02 3.922702391726590535e-03 1.543936670278725628e-03 6.930128092146844217e-04 2.116089970002662103e-04
1.410000000000000000e+02 3.919151071266624604e-03 1.541864787651546628e-03 6.935700303031838059e-04 2.116556516188906466e-04
1.415000000000000000e+02 3.915606051151919800e-03 1.539721100477562657e-03 6.946091342313917387e-04 2.115664225725756998e-04
1.420000000000000000e+02 3.911600974041770304e-03 1.539379624407186337e-03 6.950878961821422165e-04 2.114221267349152423e-04
1.425000000000000000e+02 3.907463042315774057e-03 1.540238551841759986e-03 6.957429804438109442e-04 2.112862750725639116e-04
1.430000000000000000e+02 3.902764637810207833e-03 1.540598776637185563e-03 6.963346664377217986e-04 2.112067695546188649e-04
1.435000000000000000e+02 3.897545110672169869e-03 1.541586382260333151e-03 6.971054958474503941e-04 2.111287745661482424e-04
1.440000000000000000e+02 3.892532998176735475e-03 1.542037411869441772e-03 6.975688404347400035e-04 2.110605407387012948e-04
1.445000000000000000e+02 3.884867450896757179e-03 1.543187283600066075e-03 6.979431163702477705e-04 2.109830578267984263e-04
1.450000000000000000e+02 3.877344028030649866e-03 1.543086860118462501e-03 6.982036636445074001e-04 2.109725284740443638e-04
1.455000000000000000e+02 3.870274565288343415e-03 1.543554599780277243e-03 6.983682044904006249e-04 2.109368377976256551e-04
1.460000000000000000e+02 3.865142148486501103e-03 1.542438700196084849e-03 6.979082695405485317e-04 2.108659555254222624e-04
1.465000000000000000e+02 3.860681139560142010e-03 1.539578742600830434e-03 6.971849786225133190e-04 2.107838896299555633e-04
1.470000000000000000e+02 3.857766135909752089e-03 1.537122967512474358e-03 6.962226477241506041e-04 2.106872026915948017e-04
1.475000000000000000e+02 3.854419838309930575e-03 1.534796817453102551e-03 6.954931563627778047e-04 2.105912099816588140e-04
1.480000000000000000e+02 3.851605386215798191e-03 1.533049416779939207e-03 6.948721868015819312e-04 2.104606534223932204e-04
1.485000000000000000e+02 3.848243062961061167e-03 1.530758864282784999e-03 6.942520081582102386e-04 2.103253319395362721e-04
1.490000000000000000e+02 3.844538369625968496e-03 1.528599837517598302e-03 6.935966230264311097e-04 2.101677751999438777e-04
1.495000000000000000e+02 3.839576851800787383e-03 1.526397919005464477e-03 6.929529462726819996e-04 2.100282913186524852e-04
1.500000000000000000e+02 3.832961171932043002e-03 1.524244075187929353e-03 6.922854494946001271e-04 2.098963381427364379e-04
1.505000000000000000e+02 3.825223725535491920e-03 1.522474224346697909e-03 6.915591223420364687e-04 2.097979244870204767e-04
1.510000000000000000e+02 3.816102651158109239e-03 1.520890447668707445e-03 6.914023742924719400e-04 2.096608991651048896e-04
1.515000000000000000e+02 3.806937499719359463e-03 1.519128402245140423e-03 6.911294436834834699e-04 2.095251343052072928e-04
